x,y,z,label
3,0,5,Arriba-Abajo
-18,-1,4,Arriba-Abajo
-8,3,2,Arriba-Abajo
-11,2,0,Arriba-Abajo
15,1,2,Arriba-Abajo
6,-1,0,Arriba-Abajo
0,-4,1,Arriba-Abajo
0,2,0,Arriba-Abajo
-4,7,1,Arriba-Abajo
-13,8,3,Arriba-Abajo
-7,4,-3,Arriba-Abajo
16,-1,3,Arriba-Abajo
13,-3,2,Arriba-Abajo
6,-2,3,Arriba-Abajo
0,1,0,Arriba-Abajo
-9,-2,0,Arriba-Abajo
-6,2,0,Arriba-Abajo
-3,9,0,Arriba-Abajo
-1,0,0,Arriba-Abajo
7,-2,0,Arriba-Abajo
15,-2,2,Arriba-Abajo
7,-6,1,Arriba-Abajo
0,15,1,Arriba-Abajo
-9,2,0,Arriba-Abajo
-5,9,0,Arriba-Abajo
-8,0,-2,Arriba-Abajo
5,1,0,Arriba-Abajo
14,0,3,Arriba-Abajo
2,0,1,Arriba-Abajo
4,0,0,Arriba-Abajo
1,-3,0,Arriba-Abajo
-7,3,0,Arriba-Abajo
-11,12,-3,Arriba-Abajo
-7,1,-2,Arriba-Abajo
3,-5,1,Arriba-Abajo
14,-1,2,Arriba-Abajo
2,-5,0,Arriba-Abajo
0,-1,0,Arriba-Abajo
0,5,1,Arriba-Abajo
-13,5,-1,Arriba-Abajo
-10,11,-1,Arriba-Abajo
-9,1,0,Arriba-Abajo
11,-5,0,Arriba-Abajo
8,-12,0,Arriba-Abajo
1,-5,0,Arriba-Abajo
-5,-9,-3,Arriba-Abajo
-7,6,1,Arriba-Abajo
-9,6,-1,Arriba-Abajo
-7,2,-1,Arriba-Abajo
-4,1,0,Arriba-Abajo
12,-8,1,Arriba-Abajo
6,-7,0,Arriba-Abajo
-1,-5,-1,Arriba-Abajo
0,8,-1,Arriba-Abajo
-5,8,0,Arriba-Abajo
-10,12,-1,Arriba-Abajo
-12,9,-3,Arriba-Abajo
-3,0,-2,Arriba-Abajo
11,-11,5,Arriba-Abajo
6,-8,-3,Arriba-Abajo
2,-6,1,Arriba-Abajo
0,1,0,Arriba-Abajo
-7,4,0,Arriba-Abajo
-6,10,-1,Arriba-Abajo
-6,4,0,Arriba-Abajo
0,1,0,Arriba-Abajo
9,-8,4,Arriba-Abajo
9,0,0,Arriba-Abajo
3,0,0,Arriba-Abajo
-4,-5,-2,Arriba-Abajo
-8,4,0,Arriba-Abajo
-8,5,-1,Arriba-Abajo
-5,3,-2,Arriba-Abajo
4,0,2,Arriba-Abajo
9,-13,3,Arriba-Abajo
-2,-8,0,Arriba-Abajo
2,-5,0,Arriba-Abajo
0,-1,0,Arriba-Abajo
-7,4,1,Arriba-Abajo
-9,7,-2,Arriba-Abajo
-2,6,-1,Arriba-Abajo
5,0,2,Arriba-Abajo
9,-15,5,Arriba-Abajo
-2,-11,-1,Arriba-Abajo
2,-1,0,Arriba-Abajo
-2,7,-1,Arriba-Abajo
-5,8,0,Arriba-Abajo
-11,10,-1,Arriba-Abajo
-2,6,0,Arriba-Abajo
2,-1,1,Arriba-Abajo
2,-15,0,Arriba-Abajo
9,-7,-2,Arriba-Abajo
2,0,0,Arriba-Abajo
1,11,0,Arriba-Abajo
-9,9,0,Arriba-Abajo
-10,9,0,Arriba-Abajo
-6,3,-1,Arriba-Abajo
3,-2,1,Arriba-Abajo
17,0,4,Arriba-Abajo
8,-13,-1,Arriba-Abajo
3,-2,0,Arriba-Abajo
-2,6,0,Arriba-Abajo
-7,4,0,Arriba-Abajo
-4,12,-1,Arriba-Abajo
-9,0,-1,Arriba-Abajo
2,0,0,Arriba-Abajo
12,-6,4,Arriba-Abajo
8,0,-1,Arriba-Abajo
1,-1,-1,Arriba-Abajo
0,0,0,Arriba-Abajo
-4,2,0,Arriba-Abajo
-8,14,0,Arriba-Abajo
-6,2,0,Arriba-Abajo
-3,5,-1,Arriba-Abajo
4,-9,2,Arriba-Abajo
10,-15,1,Arriba-Abajo
7,-1,2,Arriba-Abajo
0,-2,0,Arriba-Abajo
0,3,1,Arriba-Abajo
-10,1,-1,Arriba-Abajo
-7,6,-1,Arriba-Abajo
-3,5,-2,Arriba-Abajo
5,-4,1,Arriba-Abajo
13,-15,1,Arriba-Abajo
6,-2,1,Arriba-Abajo
1,-1,0,Arriba-Abajo
0,2,0,Arriba-Abajo
-8,-1,1,Arriba-Abajo
-7,7,-3,Arriba-Abajo
-4,6,-1,Arriba-Abajo
0,0,0,Arriba-Abajo
1,-11,0,Arriba-Abajo
3,-8,-1,Arriba-Abajo
8,0,0,Arriba-Abajo
-12,13,-30,Arriba-Abajo
-14,14,-53,Arriba-Abajo
-8,-11,-2,Arriba-Abajo
0,0,0,Arriba-Abajo
